species,nseqs,RangeSize_km2,RangeSize_percentile
Speleomantes_flavus,6,615.8282438,
Scaphiophryne_gottlebei,102,617.9734155,
Babina_holsti,28,618.4876868,
Eleutherodactylus_rogersi,6,680.6605622,
Plethodon_caddoensis,2,754.2883209,
Eleutherodactylus_casparii,3,757.9235807,
Bolitoglossa_pesrubra,8,777.4115528,
Hyloxalus_sylvaticus,2,785.7826217,
Mantella_viridis,179,800.6105504,
Eurycea_tonkawae,5,820.1302162,
Boulengerula_uluguruensis,5,852.5683149,
Phrynobatrachus_leveleve,9,858.6641492,
Probreviceps_macrodactylus,3,864.4504302,
Eleutherodactylus_guanahacabibes,7,891.2034719,
Nototriton_abscondens,5,902.9554256,
Bombina_lichuanensis,2,905.5646982,
Meristogenys_jerboa,2,924.8121864,
Bolitoglossa_celaque,2,970.3816482,
Plethodon_shermani,5,999.3249692,
Mantella_expectata,148,1096.96383,
Plethodon_ouachitae,4,1154.119893,
Mannophryne_trinitatis,27,1200.858241,
Mannophryne_venezuelensis,4,1269.126356,
Plethodon_nettingi,2,1285.843131,
Gephyromantis_enki,2,1289.139745,
Gephyromantis_webbi,2,1533.162557,
Bolitoglossa_subpalmata,4,1649.275532,
Allobates_caeruleodactylus,4,1762.668713,
Rana_sauteri,415,1776.456865,
Batrachuperus_londongensis,13,1848.938453,
Mantella_haraldmeieri,6,1976.328546,
Gephyromantis_eiselti,3,1993.945646,
Cynops_ensicauda,40,2039.514164,
Rana_pyrenaica,3,2131.670704,
Hyloxalus_idiomelus,5,2150.421464,
Atylodes_genei,5,2152.319682,
Bolitoglossa_rostrata,2,2186.109227,
Echinotriton_andersoni,5,2284.911615,
Ranitomeya_variabilis,19,2287.969375,
Speleomantes_imperialis,11,2388.036876,
Andinobates_virolinensis,5,2462.896577,
Batrachuperus_karlschmidti,16,2974.136127,
Heterixalus_variabilis,3,3178.037245,
Microhyla_okinavensis,18,3217.087266,
Discoglossus_montalentii,19,4140.087363,
Heterixalus_boettgeri,7,4328.823432,
Bolitoglossa_macrinii,2,4345.067376,
Salamandra_corsica,3,4409.656283,
Alytes_maurus,2,5158.53438,
Oedipina_alleni,2,5345.355938,
Oophaga_granulifera,12,5555.841676,
Bolitoglossa_palmata,2,5726.006478,
Paramesotriton_fuzhongensis,8,5836.804759,
Telmatobius_bolivianus,4,6372.437378,
Oedipina_uniformis,9,6706.319387,
Hypsiboas_semiguttatus,3,6787.549142,
Telmatobius_sanborni,2,7034.872811,
Hypsiboas_marginatus,2,7360.321142,
Oedipina_pacificensis,2,7471.151631,
Euproctus_montanus,193,7955.867678,
Zakerana_kirtisinghei,2,8078.036367,
Hypsiboas_joaquini,3,8119.47873,
Ichthyophis_glutinosus,11,8165.903919,
Eleutherodactylus_coqui,62,8774.267552,
Leptodactylus_albilabris,6,9418.096064,
Ranitomeya_amazonica,14,9705.44758,
Hynobius_tokyoensis,20,9925.659369,
Ameerega_pongoensis,4,10058.54915,
Alsodes_gargola,7,10330.31349,
Ranitomeya_flavovittata,4,10343.98528,
Hyloxalus_subpunctatus,2,10386.73997,
Gephyromantis_leucocephalus,3,10789.75324,
Pseudoeurycea_leprosa,69,11993.47473,
Hyloxalus_insulatus,2,12088.53953,
Pachyhynobius_shangchengensis,2,12840.52224,
Telmatobius_espadai,2,14523.04853,
Hyloxalus_elachyhistus,7,14775.72746,
Bolitoglossa_morio,2,15083.15291,
Colostethus_fraterdanieli,3,15481.72695,
Proceratophrys_melanopogon,7,15675.16732,
Gephyromantis_decaryi,17,15867.52809,
Batrachuperus_yenyuanensis,12,15895.19384,
Ranodon_sibiricus,2,16100.60466,
Speleomantes_italicus,5,17668.67822,
Gephyromantis_blanci,4,18179.13217,
Agalychnis_granulosa,2,19035.27167,
Eupsophus_roseus,2,19060.41416,
Ameerega_bassleri,23,19698.35013,
Hynobius_yiwuensis,5,19889.64856,
Paramesotriton_hongkongensis,2,20612.45104,
Bolitoglossa_paraensis,2,21666.38847,
Meristogenys_whiteheadi,5,22297.71353,
Plethodon_websteri,3,23302.24829,
Paramesotriton_deloustali,2,23505.09767,
Eupsophus_vertebralis,2,24518.02043,
Mertensiella_caucasica,2,24728.66273,
Buergeria_robusta,3,25849.94561,
Gephyromantis_boulengeri,10,27309.94094,
Calotriton_asper,2,27405.41258,
Buergeria_japonica,3,27723.71217,
Salamandrina_terdigitata,103,28138.47212,
Hypsiboas_guentheri,2,28197.05488,
Epipedobates_machalilla,2,28738.95633,
Mantella_nigricans,5,29216.46718,
Leptopelis_kivuensis,5,30587.97232,
Heterixalus_alboguttatus,90,30667.59463,
Heterixalus_madagascariensis,58,30757.67677,
Hyla_sarda,7,31503.532,
Boophis_rappiodes,2,31797.18711,
Mantella_baroni,10,32886.41388,
Discoglossus_sardus,5,32995.84123,
Heterixalus_punctatus,3,33573.83126,
Rana_latastei,4,33740.99391,
Meristogenys_kinabaluensis,2,35533.23383,
Paramesotriton_caudopunctatus,8,37206.77508,
Ameerega_bilinguis,2,37446.63042,
Boophis_luteus,2,37505.20784,
Oedipina_parvipes,2,37601.40292,
Bokermannohyla_circumdata,2,37925.25527,
Meristogenys_orphnocnemis,2,40329.30142,
Mantella_ebenaui,10,43905.16727,
Allobates_zaparo,2,45361.98563,
Heterixalus_luteostriatus,2,45431.37547,
Craugastor_talamancae,3,49506.37343,
Gephyromantis_redimitus,2,51885.40653,
Amphiuma_pholeter,11,52177.18682,
Hyloscirtus_armatus,2,52384.14593,
Chioglossa_lusitanica,3,54350.41738,
Batrachoseps_attenuatus,336,54770.84614,
Ommatotriton_vittatus,10,55744.29497,
Zakerana_rufescens,2,55786.95455,
Bolitoglossa_platydactyla,2,56830.04755,
Hyloxalus_bocagei,4,57106.13675,
Silverstoneia_flotator,3,57612.73371,
Bokermannohyla_hylax,2,61693.50857,
Oophaga_pumilio,224,61973.95795,
Hyloxalus_nexipus,4,62603.13323,
Staurois_tuberilinguis,4,64358.59316,
Mantidactylus_charlotteae,2,65317.80389,
Hynobius_nebulosus,5,65586.82234,
Cynops_cyanurus,2,68255.36926,
Ambystoma_barbouri,4,69056.04699,
Silverstoneia_nubicola,4,69460.70034,
Bokermannohyla_astartea,2,72068.51696,
Salamandrina_perspicillata,363,73938.15675,
Eleutherodactylus_planirostris,47,75441.35349,
Hypsiboas_caingua,3,75502.02165,
Mantella_betsileo,21,80102.89274,
Hynobius_lichenatus,127,83825.74105,
Hypsiboas_balzani,2,84268.01092,
Craugastor_crassidigitus,43,84724.36641,
Ameerega_petersi,3,90703.70904,
Eleutherodactylus_atkinsi,6,91615.00089,
Eleutherodactylus_varleyi,3,92012.44913,
Rana_iberica,15,100538.946,
Plethodon_richmondi,2,100792.9964,
Pelodytes_ibericus,5,102722.0118,
Pelophylax_porosus,3,105344.1514,
Heterixalus_betsileo,79,106380.4654,
Salamandra_atra,12,111210.5817,
Rana_italica,5,115556.8809,
Dendrobates_auratus,3,115809.5709,
Osteopilus_septentrionalis,37,118204.4998,
Spea_hammondii,3,121994.2434,
Ranitomeya_vanzolinii,3,128658.1362,
Hypsiboas_leptolineatus,2,131953.4626,
Batrachuperus_pinchonii,28,139530.0962,
Guibemantis_liber,16,143658.6424,
Phyllomedusa_rohdei,3,148759.21,
Hypsiboas_andinus,3,150146.7333,
Spelaeophryne_methneri,2,153490.3195,
Craugastor_raniformis,4,155569.6392,
Eupsophus_calcaratus,3,157384.5022,
Onychodactylus_japonicus,145,161747.1381,
Telmatobius_marmoratus,11,177948.0671,
Discoglossus_jeanneae,42,188075.5686,
Mantidactylus_femoralis,4,189287.5695,
Plethodon_serratus,25,192070.4395,
Hypsiboas_bischoffi,2,193389.9839,
Adenomera_heyeri,2,209117.4258,
Discoglossus_pictus,9,221397.4929,
Hyla_intermedia,10,225296.075,
Paramesotriton_chinensis,8,228417.1551,
Pachytriton_labiatus,2,229395.6257,
Hypsiboas_prasinus,2,249817.8155,
Batrachuperus_tibetanus,41,250725.8544,
Buergeria_buergeri,26,250836.5228,
Rana_japonica,2,251210.6255,
Smilisca_fodiens,2,252572.1515,
Ommatotriton_ophryticus,14,268174.1164,
Triturus_dobrogicus,6,272087.0735,
Craugastor_fitzingeri,31,273537.282,
Rhacophorus_schlegelii,2,286417.9589,
Pelophylax_bedriagae,13,286847.0416,
Cynops_pyrrhogaster,117,286961.2863,
Bufo_japonicus,45,287702.5422,
Discoglossus_galganoi,31,303087.5144,
Pleurodema_bibroni,2,310375.3352,
Plethodon_albagula,2,323540.7759,
Ensatina_eschscholtzii,345,325430.3773,
Onychodactylus_fischeri,3,341327.1037,
Allobates_conspicuus,2,367771.9575,
Phyllomedusa_tetraploidea,2,376009.4014,
Hyla_avivoca,3,446462.7897,
Eurycea_lucifuga,38,449637.8416,
Amphiuma_tridactylum,6,477336.1894,
Andrias_davidianus,17,486172.6378,
Pelobates_cultripes,46,490631.9763,
Thoropa_miliaris,2,500465.8485,
Triturus_carnifex,9,500693.9491,
Hynobius_leechii,11,522116.4912,
Dendrobates_tinctorius,13,525076.896,
Hypsiboas_albomarginatus,22,540877.8355,
Haddadus_binotatus,2,577133.7532,
Rana_macrocnemis,34,585969.7913,
Proceratophrys_boiei,175,643812.9905,
Hyla_meridionalis,12,678990.5233,
Pelophylax_plancyi,66,741005.9636,
Pelodytes_punctatus,2,751493.3626,
Hyla_savignyi,76,780186.9904,
Allobates_trilineatus,2,796747.1319,
Eurycea_longicauda,62,848915.5498,
Hylarana_latouchii,135,881484.5634,
Alytes_obstetricans,17,990093.0413,
Quasipaa_boulengeri,2,991567.8494,
Smilisca_baudinii,2,1050352.667,
Bombina_variegata,208,1093936.693,
Phyllomedusa_sauvagii,2,1108973.86,
Dendropsophus_branneri,16,1128020.169,
Hypsiboas_pulchellus,5,1254097.364,
Hyla_cinerea,2,1290788.588,
Plethodon_glutinosus,5,1341112.836,
Pelophylax_saharicus,8,1356219.676,
Mesotriton_alpestris,11,1364849.574,
Ambystoma_texanum,4,1389178.448,
Hypsiboas_faber,2,1552458.142,
Rana_dybowskii,2,1566648.828,
Rana_dalmatina,255,1806712.132,
Plethodon_cinereus,27,1892236.177,
Allobates_brunneus,11,1913449.48,
Salamandra_salamandra,124,2163007.337,
Hyla_versicolor,24,2278374.75,
Anaxyrus_punctatus,18,2436545.055,
Ranitomeya_ventrimaculata,16,2527140.612,
Bombina_bombina,105,2923496.691,perc_90
Hoplobatrachus_rugulosus,28,2995752.311,perc_90
Hyla_japonica,12,3321467.116,perc_90
Hoplobatrachus_tigerinus,85,3495177.784,perc_90
Pyxicephalus_adspersus,129,3658402.394,perc_90
Hyla_chrysoscelis,33,3693230.581,perc_90
Hyla_arborea,115,3790844.412,perc_90
Lithobates_clamitans,4,3793105.383,perc_90
Polypedates_leucomystax,16,3926220.27,perc_90
Ameerega_hahneli,22,3955649.131,perc_90
Pelophylax_nigromaculatus,231,4284364.192,perc_90
Microhyla_fissipes,4,4303502.465,perc_90
Ameerega_trivittata,22,4331838.368,perc_90
Triturus_cristatus,103,4374337.619,perc_90
Euphlyctis_cyanophlyctis,8,4439313.994,perc_90
Pelobates_fuscus,35,4501501.215,perc_90
Scinax_nebulosus,14,4502836.562,perc_90
Lithobates_catesbeianus,2,4520792.208,perc_90
Allobates_femoralis,102,5607495.668,perc_90
Xenopus_muelleri,5,5654205.561,perc_90
Adenomera_andreae,256,5976957.429,perc_90
Lithobates_pipiens,3,6025186.001,perc_90
Osteocephalus_taurinus,10,6116928.891,perc_90
Duttaphrynus_melanostictus,2,6924093.989,perc_90
Pelophylax_ridibundus,2,7192022.025,perc_90
Rana_temporaria,461,7784645.088,perc_90
Dendropsophus_nanus,2,8158117.775,perc_90
Fejervarya_limnocharis,12,8896740.71,perc_90
Lithobates_sylvaticus,7,9134145.442,perc_90
Adenomera_hylaedactyla,39,9405561.21,perc_90
Rana_arvalis,41,9829623.492,perc_90
Trachycephalus_venulosus,2,12127407.61,perc_90
Salamandrella_keyserlingii,165,12495717.75,perc_90
