GridCell_Id,species,PiHat,RangeSize_km2,RangeSize_percentile,nseqs
1557,Ranitomeya_variabilis,0.025316456,2287.97,,2
1648,Ranitomeya_variabilis,0.065671642,2287.97,,5
2838,Speleomantes_imperialis,0.02005934,2388.04,,5
2928,Speleomantes_imperialis,0.015119363,2388.04,,6
1917,Andinobates_virolinensis,0.004304348,2462.9,,5
2590,Batrachuperus_karlschmidti,0,2974.14,,3
2591,Batrachuperus_karlschmidti,0.031251712,2974.14,,13
1318,Heterixalus_variabilis,0.015266693,3178.04,,3
2417,Microhyla_okinavensis,0,3217.09,,2
2507,Microhyla_okinavensis,0.013234343,3217.09,,4
2508,Microhyla_okinavensis,0.095815795,3217.09,,12
2838,Discoglossus_montalentii,0.008899432,4140.09,,19
1047,Heterixalus_boettgeri,0.013562387,4328.82,,7
2181,Bolitoglossa_macrinii,0.030911901,4345.07,,2
2838,Salamandra_corsica,0,4409.66,,3
2654,Alytes_maurus,0.00286533,5158.53,,2
1915,Oedipina_alleni,0.005194805,5345.36,,2
1112,Oophaga_granulifera,0.020227273,5555.84,,12
1645,Bolitoglossa_palmata,0,5726.01,,2
2413,Paramesotriton_fuzhongensis,0,5836.8,,8
1199,Telmatobius_bolivianus,0.008352026,6372.44,,4
2004,Oedipina_uniformis,0.017748918,6706.32,,4
2005,Oedipina_uniformis,0.011428571,6706.32,,5
933,Hypsiboas_semiguttatus,0.006926407,6787.55,,3
1288,Telmatobius_sanborni,0.002781641,7034.87,,2
752,Hypsiboas_marginatus,0,7360.32,,2
1915,Oedipina_pacificensis,0.005194805,7471.15,,2
2838,Euproctus_montanus,0.023682537,7955.87,,193
1956,Zakerana_kirtisinghei,0.00154321,8078.04,,2
933,Hypsiboas_joaquini,0,8119.48,,3
1956,Ichthyophis_glutinosus,0.008839696,8165.9,,11
2189,Eleutherodactylus_coqui,0.031527654,8774.27,,41
2257,Eleutherodactylus_coqui,0,8774.27,,11
2279,Eleutherodactylus_coqui,0.005546942,8774.27,,10
2189,Leptodactylus_albilabris,0.009633367,9418.1,,6
1557,Ranitomeya_amazonica,0.008899118,9705.45,,11
1558,Ranitomeya_amazonica,0.05625879,9705.45,,3
2690,Hynobius_tokyoensis,0.00747882,9925.66,,6
2780,Hynobius_tokyoensis,0.009543286,9925.66,,10
2781,Hynobius_tokyoensis,0.03564125,9925.66,,4
1466,Ameerega_pongoensis,0.004623269,10058.55,,4
568,Alsodes_gargola,0.000848095,10330.31,,7
1557,Ranitomeya_flavovittata,0.048945148,10343.99,,4
1827,Hyloxalus_subpunctatus,0,10386.74,,2
1047,Gephyromantis_leucocephalus,0.001299624,10789.75,,3
2181,Pseudoeurycea_leprosa,0.004533026,11993.47,,7
2271,Pseudoeurycea_leprosa,0.021074334,11993.47,,42
2273,Pseudoeurycea_leprosa,0.003711409,11993.47,,4
2360,Pseudoeurycea_leprosa,0.002962963,11993.47,,2
2538,Pseudoeurycea_leprosa,0.028890924,11993.47,,14
1556,Hyloxalus_insulatus,0,12088.54,,2
2594,Pachyhynobius_shangchengensis,0.000876424,12840.52,,2
1199,Telmatobius_espadai,0,14523.05,,2
1466,Hyloxalus_elachyhistus,0.001731602,14775.73,,3
1555,Hyloxalus_elachyhistus,0.001731602,14775.73,,4
2093,Bolitoglossa_morio,0.064695009,15083.15,,2
1736,Colostethus_fraterdanieli,0,15481.73,,3
1024,Proceratophrys_melanopogon,0.094859477,15675.17,,7
1047,Gephyromantis_decaryi,0.014340908,15867.53,,11
1137,Gephyromantis_decaryi,0.000194363,15867.53,,6
2501,Batrachuperus_yenyuanensis,0,15895.19,,2
2591,Batrachuperus_yenyuanensis,0.014382552,15895.19,,10
2596,Ranodon_sibiricus,0,16100.6,,2
2928,Speleomantes_italicus,0.026680913,17668.68,,5
1047,Gephyromantis_blanci,0,18179.13,,4
1387,Agalychnis_granulosa,0.012987013,19035.27,,2
298,Eupsophus_roseus,0.005194805,19060.41,,2
1466,Ameerega_bassleri,0.028248339,19698.35,,23
2596,Hynobius_yiwuensis,0.025797872,19889.65,,5
2414,Paramesotriton_hongkongensis,0,20612.45,,2
1559,Bolitoglossa_paraensis,0.085072231,21666.39,,2
1965,Meristogenys_whiteheadi,0.006361829,22297.71,,5
2635,Plethodon_websteri,0.002674823,23302.25,,3
2411,Paramesotriton_deloustali,0,23505.1,,2
567,Eupsophus_vertebralis,0.002597403,24518.02,,2
2845,Mertensiella_caucasica,0,24728.66,,2
2416,Buergeria_robusta,0.00243309,25849.95,,3
1047,Gephyromantis_boulengeri,0.04098254,27309.94,,6
1138,Gephyromantis_boulengeri,0.000956023,27309.94,,4
2835,Calotriton_asper,0,27405.41,,2
2507,Buergeria_japonica,0.001216545,27723.71,,3
2749,Salamandrina_terdigitata,0,28138.47,,19
2750,Salamandrina_terdigitata,0,28138.47,,21
2839,Salamandrina_terdigitata,0.011605168,28138.47,,20
2928,Salamandrina_terdigitata,0.005407865,28138.47,,43
843,Hypsiboas_guentheri,0,28197.05,,2
1646,Epipedobates_machalilla,0.002597403,28738.96,,2
1318,Mantella_nigricans,0.006181015,29216.47,,5
1673,Leptopelis_kivuensis,0.006476528,30587.97,,5
1047,Heterixalus_alboguttatus,0.018261652,30667.59,,54
1137,Heterixalus_alboguttatus,0.022151899,30667.59,,4
1138,Heterixalus_alboguttatus,0.010589621,30667.59,,22
1318,Heterixalus_alboguttatus,0.018213783,30667.59,,10
1047,Heterixalus_madagascariensis,0.004219409,30757.68,,3
1137,Heterixalus_madagascariensis,0.002109705,30757.68,,3
1138,Heterixalus_madagascariensis,0.031427837,30757.68,,27
1228,Heterixalus_madagascariensis,0.013004822,30757.68,,21
1318,Heterixalus_madagascariensis,0,30757.68,,4
2838,Hyla_sarda,0.003102193,31503.53,,7
1138,Boophis_rappiodes,0,31797.19,,2
1137,Mantella_baroni,0,32886.41,,2
2182,Mantella_baroni,0.006307159,32886.41,,8
2838,Discoglossus_sardus,0.017041156,32995.84,,5
1318,Heterixalus_punctatus,0.00901857,33573.83,,3
2927,Rana_latastei,0,33740.99,,4
1875,Meristogenys_kinabaluensis,0.012931034,35533.23,,2
2413,Paramesotriton_caudopunctatus,0,37206.78,,8
1647,Ameerega_bilinguis,0.002597403,37446.63,,2
1138,Boophis_luteus,0,37505.21,,2
2006,Oedipina_parvipes,0.031168831,37601.4,,2
933,Bokermannohyla_circumdata,0,37925.26,,2
1875,Meristogenys_orphnocnemis,0,40329.3,,2
1227,Mantella_ebenaui,0.002881861,43905.17,,3
1228,Mantella_ebenaui,0,43905.17,,7
1736,Allobates_zaparo,0.002597403,45361.99,,2
1227,Heterixalus_luteostriatus,0.005580357,45431.38,,2
2006,Craugastor_talamancae,0.001867414,49506.37,,3
1138,Gephyromantis_redimitus,0.319910515,51885.41,,2
2544,Amphiuma_pholeter,0.013605442,52177.19,,7
2545,Amphiuma_pholeter,0.019201229,52177.19,,4
1199,Hyloscirtus_armatus,0,52384.15,,2
2924,Chioglossa_lusitanica,0,54350.42,,3
2715,Batrachoseps_attenuatus,0.03606095,54770.85,,330
2716,Batrachoseps_attenuatus,0.001477105,54770.85,,6
2754,Ommatotriton_vittatus,0.010528835,55744.29,,7
2755,Ommatotriton_vittatus,0.003350084,55744.29,,3
2134,Zakerana_rufescens,0.003663004,55786.95,,2
2271,Bolitoglossa_platydactyla,0.034482759,56830.05,,2
1647,Hyloxalus_bocagei,0,57106.14,,4
1915,Silverstoneia_flotator,0,57612.73,,3
1024,Bokermannohyla_hylax,0,61693.51,,2
1112,Oophaga_pumilio,0.023590006,61973.96,,14
1915,Oophaga_pumilio,0.02353258,61973.96,,24
1916,Oophaga_pumilio,0.021705426,61973.96,,10
1917,Oophaga_pumilio,0.019161201,61973.96,,10
2004,Oophaga_pumilio,0.031612339,61973.96,,21
2005,Oophaga_pumilio,0.032303252,61973.96,,132
2006,Oophaga_pumilio,0.00417412,61973.96,,13
1466,Hyloxalus_nexipus,0.002597403,62603.13,,4
1874,Staurois_tuberilinguis,0.003430532,64358.59,,2
1875,Staurois_tuberilinguis,0.001715266,64358.59,,2
1228,Mantidactylus_charlotteae,0.155279503,65317.8,,2
2689,Hynobius_nebulosus,0.029798422,65586.82,,2
2690,Hynobius_nebulosus,0.01460707,65586.82,,3
2501,Cynops_cyanurus,0,68255.37,,2
2724,Ambystoma_barbouri,0,69056.05,,4
1915,Silverstoneia_nubicola,0,69460.7,,2
1916,Silverstoneia_nubicola,0,69460.7,,2
1024,Bokermannohyla_astartea,0,72068.52,,2
2749,Salamandrina_perspicillata,0,73938.16,,24
2838,Salamandrina_perspicillata,0.000154345,73938.16,,19
2839,Salamandrina_perspicillata,0.015072365,73938.16,,210
2928,Salamandrina_perspicillata,0.000644335,73938.16,,72
2929,Salamandrina_perspicillata,0.000150173,73938.16,,38
2275,Eleutherodactylus_planirostris,0.008027199,75441.35,,3
2276,Eleutherodactylus_planirostris,0.002066484,75441.35,,11
2365,Eleutherodactylus_planirostris,0.036883049,75441.35,,23
2456,Eleutherodactylus_planirostris,0.002714343,75441.35,,7
3105,Eleutherodactylus_planirostris,0,75441.35,,3
932,Hypsiboas_caingua,0,75502.02,,3
1136,Mantella_betsileo,0.005644399,80102.89,,13
1137,Mantella_betsileo,0.00610043,80102.89,,8
2508,Hynobius_lichenatus,0.001168566,83825.74,,3
2780,Hynobius_lichenatus,0.043153779,83825.74,,40
2781,Hynobius_lichenatus,0.044586974,83825.74,,45
2871,Hynobius_lichenatus,0.021795877,83825.74,,39
1737,Hypsiboas_balzani,0,84268.01,,2
1915,Craugastor_crassidigitus,0.035925885,84724.37,,27
1916,Craugastor_crassidigitus,0.050742184,84724.37,,3
2005,Craugastor_crassidigitus,0.043175586,84724.37,,11
2006,Craugastor_crassidigitus,0.030744337,84724.37,,2
1467,Ameerega_petersi,0.048440174,90703.71,,3
2277,Eleutherodactylus_atkinsi,0.011787743,91615,,6
2365,Eleutherodactylus_varleyi,0.002242152,92012.45,,3
2834,Rana_iberica,0.004944266,100538.95,,15
2725,Plethodon_richmondi,0.020602219,100793,,2
2744,Pelodytes_ibericus,0,102722.01,,5
2780,Pelophylax_porosus,0.031171335,105344.15,,3
1047,Heterixalus_betsileo,0.02866242,106380.47,,8
1137,Heterixalus_betsileo,0.042559351,106380.47,,46
1138,Heterixalus_betsileo,0.005558772,106380.47,,12
1227,Heterixalus_betsileo,0.015013649,106380.47,,8
1228,Heterixalus_betsileo,0.015286624,106380.47,,5
2927,Salamandra_atra,0,111210.58,,2
2928,Salamandra_atra,0.010745402,111210.58,,5
2929,Salamandra_atra,0.021673504,111210.58,,5
2839,Rana_italica,0,115556.88,,5
2005,Dendrobates_auratus,0,115809.57,,3
2275,Osteopilus_septentrionalis,0.011142061,118204.5,,3
2276,Osteopilus_septentrionalis,0.012673779,118204.5,,5
2277,Osteopilus_septentrionalis,0.00764998,118204.5,,8
2364,Osteopilus_septentrionalis,0.041016859,118204.5,,3
2365,Osteopilus_septentrionalis,0.01292982,118204.5,,13
2367,Osteopilus_septentrionalis,0.003197497,118204.5,,3
2451,Osteopilus_septentrionalis,0,118204.5,,2
2716,Spea_hammondii,0.065244334,121994.24,,3
1467,Ranitomeya_vanzolinii,0.001731602,128658.14,,3
933,Hypsiboas_leptolineatus,0,131953.46,,2
2591,Batrachuperus_pinchonii,0.027763654,139530.1,,28
1047,Guibemantis_liber,0.060197051,143658.64,,4
1137,Guibemantis_liber,0.008756039,143658.64,,4
1138,Guibemantis_liber,0,143658.64,,2
1227,Guibemantis_liber,0.052646093,143658.64,,6
1024,Phyllomedusa_rohdei,0.053679654,148759.21,,3
929,Hypsiboas_andinus,0.003463203,150146.73,,3
1495,Spelaeophryne_methneri,0.00802139,153490.32,,2
1916,Craugastor_raniformis,0.017215813,155569.64,,4
567,Eupsophus_calcaratus,0.032900433,157384.5,,3
2507,Onychodactylus_japonicus,0.006420181,161747.14,,5
2689,Onychodactylus_japonicus,0.061224746,161747.14,,52
2690,Onychodactylus_japonicus,0.018859655,161747.14,,9
2779,Onychodactylus_japonicus,0.002844141,161747.14,,4
2780,Onychodactylus_japonicus,0.054919136,161747.14,,36
2781,Onychodactylus_japonicus,0.05265003,161747.14,,20
2871,Onychodactylus_japonicus,0.063666271,161747.14,,19
1108,Telmatobius_marmoratus,0.004464286,177948.07,,2
1198,Telmatobius_marmoratus,0.014549518,177948.07,,6
1288,Telmatobius_marmoratus,0.001854427,177948.07,,3
2744,Discoglossus_jeanneae,0,188075.57,,11
2745,Discoglossus_jeanneae,0,188075.57,,4
2835,Discoglossus_jeanneae,0.000623014,188075.57,,27
1137,Mantidactylus_femoralis,0.06557377,189287.57,,2
1228,Mantidactylus_femoralis,0.074666667,189287.57,,2
2632,Plethodon_serratus,0.040305635,192070.44,,15
2633,Plethodon_serratus,0,192070.44,,3
2634,Plethodon_serratus,0,192070.44,,2
2723,Plethodon_serratus,0,192070.44,,3
2725,Plethodon_serratus,0,192070.44,,2
933,Hypsiboas_bischoffi,0,193389.98,,2
1832,Adenomera_heyeri,0.065897858,209117.43,,2
2655,Discoglossus_pictus,0.015625,221397.49,,2
2748,Discoglossus_pictus,0.049479167,221397.49,,2
2749,Discoglossus_pictus,0.032986111,221397.49,,3
2836,Discoglossus_pictus,0.0078125,221397.49,,2
2749,Hyla_intermedia,0.003990878,225296.08,,4
2840,Hyla_intermedia,0,225296.08,,2
2928,Hyla_intermedia,0.004038179,225296.08,,4
2413,Paramesotriton_chinensis,0,228417.16,,8
2503,Pachytriton_labiatus,0,229395.63,,2
933,Hypsiboas_prasinus,0.145454545,249817.82,,2
2591,Batrachuperus_tibetanus,0.00795756,250725.85,,2
2681,Batrachuperus_tibetanus,0.021989525,250725.85,,15
2682,Batrachuperus_tibetanus,0.034909799,250725.85,,22
2771,Batrachuperus_tibetanus,0.00132626,250725.85,,2
2688,Buergeria_buergeri,0.007664234,250836.52,,5
2689,Buergeria_buergeri,0.071104958,250836.52,,10
2780,Buergeria_buergeri,0.001911714,250836.52,,7
2781,Buergeria_buergeri,0.00729927,250836.52,,2
2871,Buergeria_buergeri,0,250836.52,,2
2781,Rana_japonica,0.002192982,251210.63,,2
2448,Smilisca_fodiens,0,252572.15,,2
2843,Ommatotriton_ophryticus,0.002512563,268174.12,,2
2844,Ommatotriton_ophryticus,0.002512563,268174.12,,2
2845,Ommatotriton_ophryticus,0.013735343,268174.12,,6
2846,Ommatotriton_ophryticus,0.020100503,268174.12,,4
3019,Triturus_dobrogicus,0.002466344,272087.07,,6
1915,Craugastor_fitzingeri,0.011799782,273537.28,,13
1916,Craugastor_fitzingeri,0.021410983,273537.28,,6
2004,Craugastor_fitzingeri,0.056634304,273537.28,,2
2005,Craugastor_fitzingeri,0.043709317,273537.28,,4
2006,Craugastor_fitzingeri,0.007129727,273537.28,,4
2094,Craugastor_fitzingeri,0,273537.28,,2
2689,Rhacophorus_schlegelii,0,286417.96,,2
2752,Pelophylax_bedriagae,0.002469136,286847.04,,4
2753,Pelophylax_bedriagae,0.006419753,286847.04,,5
2756,Pelophylax_bedriagae,0.007407407,286847.04,,2
2846,Pelophylax_bedriagae,0.009876543,286847.04,,2
2598,Cynops_pyrrhogaster,0.01460707,286961.29,,3
2688,Cynops_pyrrhogaster,0.027181852,286961.29,,24
2689,Cynops_pyrrhogaster,0.046376287,286961.29,,28
2690,Cynops_pyrrhogaster,0.030183518,286961.29,,12
2691,Cynops_pyrrhogaster,0.004382121,286961.29,,2
2779,Cynops_pyrrhogaster,0.043938066,286961.29,,6
2780,Cynops_pyrrhogaster,0.050413118,286961.29,,27
2781,Cynops_pyrrhogaster,0.010204082,286961.29,,8
2871,Cynops_pyrrhogaster,0.007011394,286961.29,,5
2962,Cynops_pyrrhogaster,0.087642419,286961.29,,2
2689,Bufo_japonicus,0.007212515,287702.54,,8
2690,Bufo_japonicus,0.008552572,287702.54,,4
2780,Bufo_japonicus,0.044207966,287702.54,,27
2781,Bufo_japonicus,0.028514755,287702.54,,4
2871,Bufo_japonicus,0.005780347,287702.54,,2
2744,Discoglossus_galganoi,0.00160589,303087.51,,7
2745,Discoglossus_galganoi,0,303087.51,,2
2834,Discoglossus_galganoi,0.003541768,303087.51,,16
2835,Discoglossus_galganoi,0.001872659,303087.51,,3
2924,Discoglossus_galganoi,0,303087.51,,3
752,Pleurodema_bibroni,0,310375.34,,2
2722,Plethodon_albagula,0.050847458,323540.78,,2
2715,Ensatina_eschscholtzii,0.082139496,325430.38,,267
2716,Ensatina_eschscholtzii,0.054984231,325430.38,,32
2804,Ensatina_eschscholtzii,0.031709613,325430.38,,7
2805,Ensatina_eschscholtzii,0.070090242,325430.38,,35
2895,Ensatina_eschscholtzii,0.019126272,325430.38,,4
2777,Onychodactylus_fischeri,0.01460707,341327.1,,3
1467,Allobates_conspicuus,0,367771.96,,2
1024,Phyllomedusa_tetraploidea,0,376009.4,,2
2721,Hyla_avivoca,0.002218623,446462.79,,3
2544,Eurycea_lucifuga,0.007081437,449637.84,,3
2633,Eurycea_lucifuga,0.002023268,449637.84,,6
2634,Eurycea_lucifuga,0.005376101,449637.84,,14
2721,Eurycea_lucifuga,0,449637.84,,3
2722,Eurycea_lucifuga,0.019803762,449637.84,,3
2723,Eurycea_lucifuga,0.042488619,449637.84,,2
2724,Eurycea_lucifuga,0.033383915,449637.84,,2
2725,Eurycea_lucifuga,0.034395549,449637.84,,3
2814,Eurycea_lucifuga,0.04400607,449637.84,,2
2543,Amphiuma_tridactylum,0.062467998,477336.19,,4
2633,Amphiuma_tridactylum,0,477336.19,,2
2414,Andrias_davidianus,0.003278689,486172.64,,2
2591,Andrias_davidianus,0,486172.64,,2
2593,Andrias_davidianus,0.021786492,486172.64,,3
2595,Andrias_davidianus,0.009803922,486172.64,,4
2682,Andrias_davidianus,0.013071895,486172.64,,2
2683,Andrias_davidianus,0,486172.64,,4
2743,Pelobates_cultripes,0.012084592,490631.98,,2
2744,Pelobates_cultripes,0.003204133,490631.98,,9
2745,Pelobates_cultripes,0.000725689,490631.98,,4
2833,Pelobates_cultripes,0,490631.98,,6
2834,Pelobates_cultripes,0.000939941,490631.98,,15
2835,Pelobates_cultripes,0.001935172,490631.98,,4
2924,Pelobates_cultripes,0,490631.98,,6
1024,Thoropa_miliaris,0.015665796,500465.85,,2
3105,Triturus_carnifex,0.005089059,500693.95,,9
2778,Hynobius_leechii,0.022788204,522116.49,,2
2866,Hynobius_leechii,0.001037278,522116.49,,9
1831,Dendrobates_tinctorius,0.011963061,525076.9,,5
1832,Dendrobates_tinctorius,0.004865192,525076.9,,8
1476,Hypsiboas_albomarginatus,0,540877.84,,2
1477,Hypsiboas_albomarginatus,0.006166151,540877.84,,20
1024,Haddadus_binotatus,0.002610966,577133.75,,2
2845,Rana_macrocnemis,0.003968254,585969.79,,3
2846,Rana_macrocnemis,0.003829017,585969.79,,19
2847,Rana_macrocnemis,0.004539442,585969.79,,12
932,Proceratophrys_boiei,0,643812.99,,3
1023,Proceratophrys_boiei,0.012159607,643812.99,,8
1024,Proceratophrys_boiei,0.041181638,643812.99,,42
1115,Proceratophrys_boiei,0.059179101,643812.99,,4
1476,Proceratophrys_boiei,0.001416122,643812.99,,10
1477,Proceratophrys_boiei,0.015697308,643812.99,,92
1566,Proceratophrys_boiei,0.000750751,643812.99,,16
2561,Hyla_meridionalis,0,678990.52,,3
2743,Hyla_meridionalis,0.001467621,678990.52,,3
2744,Hyla_meridionalis,0.002205072,678990.52,,3
2927,Hyla_meridionalis,0,678990.52,,3
2593,Pelophylax_plancyi,0.016709836,741005.96,,15
2595,Pelophylax_plancyi,0.018879417,741005.96,,34
2596,Pelophylax_plancyi,0.003639503,741005.96,,15
2777,Pelophylax_plancyi,0,741005.96,,2
2835,Pelodytes_punctatus,0.01038961,751493.36,,2
2664,Hyla_savignyi,0.000957218,780186.99,,16
2754,Hyla_savignyi,0.003395203,780186.99,,22
2755,Hyla_savignyi,0.030627306,780186.99,,20
2756,Hyla_savignyi,0.044722787,780186.99,,6
2757,Hyla_savignyi,0.000736648,780186.99,,4
2847,Hyla_savignyi,0.000276243,780186.99,,8
1378,Allobates_trilineatus,0.002597403,796747.13,,2
2544,Eurycea_longicauda,0.001517451,848915.55,,2
2632,Eurycea_longicauda,0.012640201,848915.55,,8
2633,Eurycea_longicauda,0.058593146,848915.55,,13
2634,Eurycea_longicauda,0.020490246,848915.55,,13
2721,Eurycea_longicauda,0.089023773,848915.55,,3
2722,Eurycea_longicauda,0.014769853,848915.55,,6
2723,Eurycea_longicauda,0.094081942,848915.55,,2
2724,Eurycea_longicauda,0.007890744,848915.55,,6
2725,Eurycea_longicauda,0.003210273,848915.55,,2
2814,Eurycea_longicauda,0.002456825,848915.55,,7
2415,Hylarana_latouchii,0.003448276,881484.56,,6
2416,Hylarana_latouchii,0.040889077,881484.56,,113
2506,Hylarana_latouchii,0.001733637,881484.56,,12
2596,Hylarana_latouchii,0.003134796,881484.56,,2
2775,Hylarana_latouchii,0.004702194,881484.56,,2
2834,Alytes_obstetricans,0.005194805,990093.04,,2
2835,Alytes_obstetricans,0.019427492,990093.04,,8
2836,Alytes_obstetricans,0.008022923,990093.04,,5
2923,Alytes_obstetricans,0,990093.04,,2
2593,Quasipaa_boulengeri,0,991567.85,,2
2448,Smilisca_baudinii,0,1050352.67,,2
2839,Bombina_variegata,0,1093936.69,,3
2841,Bombina_variegata,0.001626468,1093936.69,,24
2842,Bombina_variegata,0.013331306,1093936.69,,9
2927,Bombina_variegata,0.000456204,1093936.69,,4
2928,Bombina_variegata,0.050763106,1093936.69,,11
2930,Bombina_variegata,0.005018248,1093936.69,,4
