Binomial,Anthrome,PiHat
'Micromys_minutus',2,0.009302326
'Microtus_guatemalensis',2,0.001031992
'Millardia_meltada',2,0
'Miniopterus_inflatus',2,0.00096859
'Miniopterus_magnater',2,0
'Molossus_rufus',2,0.006254324
'Moschus_berezovskii',2,0.004559271
'Murina_aurata',2,0.009023959
'Murina_cyclotis',2,0.053272451
'Murina_hilgendorfi',2,0.00304414
'Murina_huttoni',2,0.036858974
'Murina_tubinaris',2,0.020731088
'Mus_pahari',2,0.0456621
'Myodes_rufocanus',2,0.006218039
'Myonycteris_angolensis',2,0.009580105
'Myotis_adversus',2,0.004573171
'Myotis_chinensis',2,0.001602564
'Myotis_elegans',2,0.001014713
'Myotis_hasseltii',2,0.003083167
'Myotis_ikonnikovi',2,0.000608828
'Myotis_montivagus',2,0.001748252
'Myotis_muricola',2,0.010400812
'Myotis_pilosus',2,0.004362871
'Myotis_siligorensis',2,0.008737835
'Nectogale_elegans',2,0.003666103
'Neodon_irene',2,0.015603982
'Neotetracus_sinensis',2,0
'Niviventer_confucianus',2,0.006110611
'Niviventer_fulvescens',2,0.019085778
'Ototylomys_phyllotis',2,0.001529052
'Peromyscus_guatemalensis',2,0.004161773
'Peromyscus_levipes',2,0.003515747
'Peromyscus_mayensis',2,0.001615599
'Peromyscus_mexicanus',2,0.013213165
'Peromyscus_zarhynchus',2,0.000818587
'Phyllostomus_discolor',2,0
'Pipistrellus_abramus',2,0.025443426
'Pipistrellus_javanicus',2,0.096142957
'Pipistrellus_kuhlii',2,0.016611427
'Pipistrellus_pipistrellus',2,0.00152207
'Pipistrellus_pulveratus',2,0.029850746
'Pipistrellus_tenuis',2,0
'Praomys_derooi',2,0.0009298
'Praomys_misonnei',2,0.006792712
'Praomys_tullbergi',2,0.001628124
'Procyon_lotor',2,0
'Pteronotus_davyi',2,0.001016263
'Pteropus_lylei',2,0.007001522
'Pteropus_vampyrus',2,0.01674277
'Rattus_argentiventer',2,0.015263787
'Rattus_exulans',2,0.000275802
'Rattus_nitidus',2,0.000775194
'Rattus_rattus',2,0.001597331
'Rattus_tanezumi',2,0.004439675
'Rattus_tiomanicus',2,0.003963071
'Reithrodontomys_microdon',2,0.001031466
'Rhinolophus_affinis',2,0.016120364
'Rhinolophus_luctus',2,0.00456621
'Rhinolophus_malayanus',2,0.02238806
'Rhinolophus_paradoxolophus',2,0.006116208
'Rhinolophus_pearsonii',2,0.032692546
'Rhinolophus_pusillus',2,0.014251781
'Rhogeessa_tumida',2,0.00152207
'Rousettus_leschenaultii',2,0.007786127
'Saccopteryx_bilineata',2,0.001526718
'Scotomanes_ornatus',2,0.008104364
'Scotophilus_kuhlii',2,0.006837718
'Sorex_caecutiens',2,0.0032
'Sorex_isodon',2,0.0048
'Soriculus_nigrescens',2,0.01928934
'Sphaerias_blanfordi',2,0
'Sturnira_lilium',2,0.002212655
'Sturnira_ludovici',2,0.013259646
'Tamias_sibiricus',2,0.004946728
'Taphozous_melanopogon',2,0.000307451
'Tatera_indica',2,0
'Tscherskia_triton',2,0.00331473
'Tylonycteris_robustula',2,0.003290013
'Vespertilio_sinensis',2,0.001014713
'Anoura_geoffroyi',3,0.004944057
'Apodemus_agrarius',3,0.008991372
'Apodemus_flavicollis',3,0.010443093
'Arielulus_circumdatus',3,0.001014713
'Artibeus_aztecus',3,0.002378808
'Artibeus_fimbriatus',3,0.010184371
'Artibeus_jamaicensis',3,0.012084212
'Artibeus_lituratus',3,0.00600332
'Artibeus_phaeotis',3,0.002655615
'Artibeus_toltecus',3,0.00152207
'Aselliscus_stoliczkanus',3,0.059052702
'Baiomys_musculus',3,0.028769458
'Balantiopteryx_io',3,0
'Balantiopteryx_plicata',3,0.00369268
'Balionycteris_maculata',3,0.002986797
'Bandicota_indica',3,0.00494304
'Bandicota_savilei',3,0.093585062
'Barbastella_barbastellus',3,0.006650808
'Berylmys_berdmorei',3,0.017487376
'Berylmys_bowersi',3,0.001020929
'Blarina_brevicauda',3,0.007033949
'Canis_latrans',3,0.001297017
'Capreolus_capreolus',3,0
'Caracal_caracal',3,0
'Cardioderma_cor',3,0.006883243
'Carollia_perspicillata',3,0.011394646
'Carollia_sowelli',3,0
'Carollia_subrufa',3,0.002269268
'Castor_canadensis',3,0.004573171
'Castor_fiber',3,0
'Cebus_apella',3,0.003766478
'Centurio_senex',3,0.009436834
'Cerdocyon_thous',3,0
'Chiroderma_doriae',3,0.002284265
'Chodsigoa_hypsibia',3,0.004512126
'Chrotopterus_auritus',3,0
'Conepatus_chinga',3,0.003387356
'Cricetus_cricetus',3,0.007080785
'Crocidura_wuchihensis',3,0.004058853
'Crocuta_crocuta',3,0.010695187
'Ctenomys_pearsoni',3,0.017316017
'Cynomys_ludovicianus',3,0
'Cynopterus_horsfieldii',3,0.021857936
'Cynopterus_sphinx',3,0.006196526
'Desmodus_rotundus',3,0.026703837
'Didelphis_albiventris',3,0.000765697
'Didelphis_aurita',3,0.001642036
'Didelphis_marsupialis',3,0
'Didelphis_pernigra',3,0
'Didelphis_virginiana',3,0.005870841
'Dipodomys_compactus',3,0
'Emballonura_monticola',3,0.014760148
'Eonycteris_spelaea',3,0.004565313
'Eptesicus_bottae',3,0.004531795
'Eptesicus_fuscus',3,0.003144889
'Eptesicus_nilssonii',3,0.008003053
'Eptesicus_serotinus',3,0.042561171
'Funisciurus_pyrropus',3,0
'Glauconycteris_beatrix',3,0.003348554
'Glauconycteris_poensis',3,0.007130162
'Glischropus_tylopus',3,0
'Glossophaga_leachii',3,0.000380518
'Glossophaga_soricina',3,0.010415325
'Gracilinanus_microtarsus',3,0.02283105
'Habromys_lepturus',3,0.00558805
'Handleyomys_alfaroi',3,0.074577146
'Handleyomys_melanotis',3,0.040830946
'Harpiocephalus_harpia',3,0.012540692
'Hemitragus_jemlahicus',3,0.007473842
'Hesperoptenus_blanfordi',3,0.001695005
'Heteromys_desmarestianus',3,0.021956278
'Heteromys_gaumeri',3,0.00789413
'Hipposideros_armiger',3,0.031870542
'Hipposideros_cervinus',3,0.023848319
'Hipposideros_commersoni',3,0.011655267
'Hipposideros_diadema',3,0.019218378
'Hipposideros_galeritus',3,0.006334125
'Hipposideros_lylei',3,0
'Hipposideros_pomona',3,0.01767546
'Hipposideros_ridleyi',3,0.004016064
'Hipposideros_ruber',3,0.066609457
'Hylomyscus_aeta',3,0
'Kerivoula_intermedia',3,0.018957844
'Kerivoula_minuta',3,0.033823291
'Kerivoula_papillosa',3,0.005933118
'Kerivoula_pellucida',3,0.007039061
'Lasiurus_blossevillii',3,0.004587156
'Lasiurus_borealis',3,0.008162181
'Lasiurus_cinereus',3,0.002946536
'Lemur_catta',3,0
'Leopardus_geoffroyi',3,0.007158875
'Leopoldamys_edwardsi',3,0.038539554
'Leopoldamys_neilli',3,0.043678408
'Leopoldamys_sabanus',3,0.002134306
'Lepus_europaeus',3,0
'Liomys_irroratus',3,0.00304414
'Liomys_pictus',3,0.080942327
'Liomys_salvini',3,0.005748861
'Liomys_spectabilis',3,0
'Lontra_longicaudis',3,0
'Loxodonta_africana',3,0.00755287
'Lynx_lynx',3,0
'Macroglossus_sobrinus',3,0.008142494
'Marmosa_mexicana',3,0.060636819
'Marmosa_murina',3,0.00152207
'Marmosa_paraguayanus',3,0.003805175
'Marmosops_incanus',3,0.007955881
'Marmota_monax',3,0.003132389
'Martes_pennanti',3,0.000432339
'Mastomys_natalensis',3,0.020862309
'Maxomys_surifer',3,0
'Maxomys_whiteheadi',3,0.010703364
'Megaderma_lyra',3,0
'Megaerops_ecaudatus',3,0.02283105
'Megaerops_wetmorei',3,0.016627078
'Mephitis_mephitis',3,0.0304414
'Metachirus_nudicaudatus',3,0.006096014
'Micromys_minutus',3,0
'Micronycteris_microtis',3,0.004580153
'Microtus_ochrogaster',3,0.079722066
'Microtus_pennsylvanicus',3,0.02046901
'Mimon_cozumelae',3,0.00185723
'Miniopterus_magnater',3,0.008811194
'Miniopterus_medius',3,0.088541667
'Miniopterus_minor',3,0.006438005
'Miniopterus_natalensis',3,0.002772342
'Miniopterus_schreibersii',3,0.009281783
'Mormoops_megalophylla',3,0
'Murina_aenea',3,0.002375297
'Murina_aurata',3,0
'Murina_cyclotis',3,0.022408313
'Murina_hilgendorfi',3,0.003140427
'Murina_leucogaster',3,0
'Murina_suilla',3,0.02283105
'Murina_tubinaris',3,0
'Mustela_erminea',3,0.00152207
'Mustela_frenata',3,0.007668712
'Mustela_nivalis',3,0.005101623
'Myodes_gapperi',3,0.022282505
'Myodes_glareolus',3,0.078212291
'Myodes_rufocanus',3,0.007864028
'Myotis_alcathoe',3,0
'Myotis_aurascens',3,0
'Myotis_bechsteinii',3,0.014268585
'Myotis_blythii',3,0.028313655
'Myotis_brandtii',3,0.059126075
'Myotis_capaccinii',3,0.01528777
'Myotis_ciliolabrum',3,0
'Myotis_dasycneme',3,0.002283105
'Myotis_daubentonii',3,0.007863458
'Myotis_emarginatus',3,0.004932054
'Myotis_frater',3,0
'Myotis_gomantongensis',3,0.00152207
'Myotis_horsfieldii',3,0.026662225
'Myotis_keaysi',3,0.02640579
'Myotis_lucifugus',3,0.006230762
'Myotis_muricola',3,0.090792843
'Myotis_myotis',3,0.018162777
'Myotis_mystacinus',3,0.004624304
'Myotis_nattereri',3,0.036025334
'Myotis_pilosus',3,0.00078125
'Myotis_ruber',3,0
'Myotis_siligorensis',3,0.018923829
'Myotis_velifer',3,0.00152207
'Nanonycteris_veldkampii',3,0.004363267
'Nasua_nasua',3,0.007486631
'Neoromicia_brunnea',3,0.003058104
'Neoromicia_nana',3,0
'Neotoma_cinerea',3,0.003968639
'Neovison_vison',3,0.001034534
'Niviventer_confucianus',3,0.035240495
'Niviventer_fulvescens',3,0.005166885
'Noctilio_leporinus',3,0
'Nyctalus_leisleri',3,0.002217281
'Nyctalus_noctula',3,0.002223062
'Nycteris_hispida',3,0
'Nycteris_tragata',3,0.004501967
'Nyctinomops_laticaudatus',3,0.001293137
'Nyctomys_sumichrasti',3,0.099847793
'Odocoileus_virginianus',3,0.006111625
'Oligoryzomys_fulvescens',3,0.009844541
'Oryzomys_couesi',3,0.017122671
'Osgoodomys_banderanus',3,0.019976009
'Ototylomys_phyllotis',3,0.019484341
'Pappogeomys_bulleri',3,0.044876783
'Peromyscus_aztecus',3,0.051053494
'Peromyscus_grandis',3,0.019435648
'Peromyscus_guatemalensis',3,0.00304414
'Peromyscus_leucopus',3,0.002694006
'Peromyscus_levipes',3,0.003081238
'Peromyscus_maniculatus',3,0.027485097
'Peromyscus_megalops',3,0.001014713
'Peromyscus_mexicanus',3,0.049452099
'Peromyscus_pectoralis',3,0
'Peromyscus_stirtoni',3,0.002904022
'Peromyscus_yucatanicus',3,0.008300289
'Peromyscus_zarhynchus',3,0.007430997
'Peropteryx_macrotis',3,0.002130566
'Phascogale_tapoatafa',3,0
'Phenacomys_intermedius',3,0.00608828
'Philander_frenatus',3,0.00152207
'Philander_opossum',3,0.002029427
'Phoniscus_jagorii',3,0.00518991
'Phyllostomus_discolor',3,0
'Pipistrellus_cadornae',3,0.000249151
'Pipistrellus_coromandra',3,0.010073505
'Pipistrellus_eisentrauti',3,0.001567398
'Pipistrellus_javanicus',3,0.006280437
'Pipistrellus_kuhlii',3,0.028119775
'Pipistrellus_nanulus',3,0.012785388
'Pipistrellus_nathusii',3,0.000839617
'Pipistrellus_pipistrellus',3,0.008148878
'Pipistrellus_pulveratus',3,0.001016263
'Pipistrellus_pygmaeus',3,0.002644162
'Pipistrellus_savii',3,0.042123318
'Pipistrellus_subflavus',3,0.003735445
'Platyrrhinus_lineatus',3,0
'Platyrrhinus_recifinus',3,0.002029427
'Plecotus_auritus',3,0.018294611
'Plecotus_austriacus',3,0.001805054
'Plecotus_kolombatovici',3,0
'Plecotus_macrobullaris',3,0.003597122
'Potorous_tridactylus',3,0.030360292
'Praomys_misonnei',3,0.012113399
'Praomys_morio',3,0.003699667
'Praomys_rostratus',3,0.00932669
'Praomys_tullbergi',3,0.025211958
'Pseudalopex_gymnocercus',3,0.018535251
'Pteronotus_davyi',3,0.001217656
'Pteronotus_parnellii',3,0.00400087
'Pteronotus_personatus',3,0.047283538
'Rattus_andamanensis',3,0.007439275
'Rattus_exulans',3,0.002413809
'Rattus_rattus',3,0.02014053
'Rattus_tanezumi',3,0.005054016
'Rattus_tiomanicus',3,0.006289308
'Reithrodontomys_fulvescens',3,0.096153896
'Reithrodontomys_gracilis',3,0.040733344
'Reithrodontomys_mexicanus',3,0.030461016
'Reithrodontomys_sumichrasti',3,0.00304414
'Rhinolophus_acuminatus',3,0.013893685
'Rhinolophus_affinis',3,0.013365851
'Rhinolophus_blasii',3,0.002409639
'Rhinolophus_borneensis',3,0.006351251
'Rhinolophus_creaghi',3,0
'Rhinolophus_euryale',3,0.000960097
'Rhinolophus_ferrumequinum',3,0.003270519
'Rhinolophus_hipposideros',3,0.069084002
'Rhinolophus_lepidus',3,0.010801645
'Rhinolophus_luctus',3,0.009501188
'Rhinolophus_macrotis',3,0.011160714
'Rhinolophus_malayanus',3,0.02972028
'Rhinolophus_mehelyi',3,0
'Rhinolophus_paradoxolophus',3,0.004498231
'Rhinolophus_pearsonii',3,0.026505514
'Rhinolophus_philippinensis',3,0
'Rhinolophus_sedulus',3,0.002375297
'Rhinolophus_stheno',3,0.009615677
'Rhinolophus_trifoliatus',3,0.009123885
'Rhizomys_pruinosus',3,0
'Rousettus_aegyptiacus',3,0.020830098
'Rousettus_amplexicaudatus',3,0.015127489
'Rousettus_lanosus',3,0.004411765
'Rousettus_leschenaultii',3,0.005282478
'Rupicapra_rupicapra',3,0.002989537
'Saimiri_sciureus',3,0
'Scotinomys_teguina',3,0.055301877
'Scotomanes_ornatus',3,0.003591153
'Scotophilus_kuhlii',3,0.001779359
'Sigmodon_hispidus',3,0.051237391
'Sigmodon_mascotensis',3,0.008429247
'Sorex_araneus',3,0.00304414
'Sorex_arcticus',3,0.000388328
'Sorex_cinereus',3,0.014703161
'Sorex_fumeus',3,0.002905438
'Sorex_haydeni',3,0.000729112
'Sorex_hoyi',3,0.011567732
'Sorex_monticolus',3,0.001860308
'Sphaerias_blanfordi',3,0.004657453
'Sturnira_lilium',3,0.025682227
'Sturnira_ludovici',3,0.013617655
'Sturnira_luisi',3,0.022838543
'Sylvilagus_floridanus',3,0
'Tachyglossus_aculeatus',3,0
'Tadarida_brasiliensis',3,0.006695173
'Tamias_amoenus',3,0.00311042
'Tamiasciurus_hudsonicus',3,0.005711146
'Tamias_striatus',3,0.005956893
'Taphozous_hildegardeae',3,0
'Taxidea_taxus',3,0.006134969
'Thomomys_talpoides',3,0.034722222
'Triaenops_persicus',3,0.006680067
'Tylomys_nudicaudus',3,0
'Tylonycteris_pachypus',3,0
'Ursus_arctos',3,0.020140987
'Vampyressa_pusilla',3,0.00568054
'Vespertilio_murinus',3,0.003447977
'Vulpes_vulpes',3,0.007377049
'Zapus_hudsonius',3,0.011849303
'Zapus_princeps',3,0.007914764
'Allactaga_sibirica',4,0.008455945
'Allocricetulus_curtatus',4,0
'Ametrida_centurio',4,0.011669203
'Antrozous_pallidus',4,0.003039514
'Apodemus_agrarius',4,0.007794
'Apodemus_chevrieri',4,0.002761041
'Apodemus_draco',4,0.019021235
'Apodemus_peninsulae',4,0.003211928
'Apodemus_uralensis',4,0.04414003
'Artibeus_amplus',4,0.006125574
'Artibeus_bogotensis',4,0.009621388
'Artibeus_cinereus',4,0.011522554
'Artibeus_concolor',4,0.017023559
'Artibeus_gnomus',4,0.013444952
'Artibeus_lituratus',4,0.006284204
'Artibeus_obscurus',4,0.006336618
'Aselliscus_stoliczkanus',4,0.002200207
'Caluromys_philander',4,0.029984779
'Cardioderma_cor',4,0.004371073
'Carollia_brevicauda',4,0.020822652
'Carollia_castanea',4,0.00304414
'Carollia_perspicillata',4,0.006503124
'Caryomys_eva',4,0.022232312
'Cephalophus_callipygus',4,0.012124283
'Cephalophus_dorsalis',4,0.001266302
'Cephalophus_leucogaster',4,0.00292663
'Cephalophus_natalensis',4,0.001519757
'Cephalophus_nigrifrons',4,0.003090565
'Cercopithecus_cephus',4,0.001550388
'Cercopithecus_nictitans',4,0.005714136
'Cercopithecus_pogonias',4,0.003100775
'Cerdocyon_thous',4,0.010695187
'Cervus_albirostris',4,0.005065856
'Chaerephon_pumilus',4,0.003145611
'Chaetodipus_pernix',4,0
'Chiroderma_trinitatum',4,0.01369863
'Chiroderma_villosum',4,0.002031747
'Chrysocyon_brachyurus',4,0.044786643
'Coleura_afra',4,0.021316991
'Conepatus_chinga',4,0.006089451
'Conepatus_semistriatus',4,0.003565062
'Crocidura_eburnea',4,0.017953683
'Crocidura_goliath',4,0.000949668
'Crocidura_obscurior',4,0.02843151
'Crossarchus_obscurus',4,0.055229398
'Ctenomys_dorbignyi',4,0
'Ctenomys_pearsoni',4,0
'Ctenomys_perrensi',4,0.001443001
'Desmodus_rotundus',4,0.006415456
'Didelphis_albiventris',4,0.003478002
'Didelphis_aurita',4,0.000988902
'Didelphis_marsupialis',4,0.004838008
'Dipodomys_merriami',4,0.004973075
'Dipus_sagitta',4,0.00456621
'Eolagurus_przewalskii',4,0
'Eospalax_fontanierii',4,0.001785714
'Eothenomys_chinensis',4,0.000514403
'Eothenomys_melanogaster',4,0.013888889
'Epomophorus_wahlbergi',4,0.000817915
'Eptesicus_bobrinskoi',4,0.002283105
'Eptesicus_fuscus',4,0.002026342
'Eptesicus_nilssonii',4,0.015608049
'Eptesicus_serotinus',4,0.002018273
'Eremitalpa_granti',4,0
'Galictis_cuja',4,0.010695187
'Glossophaga_longirostris',4,0.006397948
'Glossophaga_soricina',4,0.02800151
'Gracilinanus_microtarsus',4,0.03348554
'Handleyomys_alfaroi',4,0.068746829
'Harpiocephalus_harpia',4,0.001531394
'Heimyscus_fumosus',4,0.021787479
'Heteromys_desmarestianus',4,0.010992728
'Heteromys_oresterus',4,0
'Hipposideros_armiger',4,0.001053186
'Hipposideros_larvatus',4,0.000885758
'Hylomyscus_alleni',4,0.004273504
'Hylomyscus_parvus',4,0.049673444
'Lagostrophus_fasciatus',4,0
'Lasiopodomys_brandtii',4,0
'Lasiurus_borealis',4,0.005436091
'Lasiurus_cinereus',4,0.003820319
'Lasiurus_intermedius',4,0.058231192
'Lasiurus_seminolus',4,0.068598055
'Lasiurus_xanthinus',4,0
'Leopardus_colocolo',4,0.005347594
'Leopardus_geoffroyi',4,0.002673797
'Leopardus_tigrinus',4,0.040998217
'Leopardus_wiedii',4,0.014993634
'Leopoldamys_edwardsi',4,0
'Liomys_irroratus',4,0.00152207
'Liomys_pictus',4,0.060111507
'Lionycteris_spurrelli',4,0
'Lonchophylla_thomasi',4,0.039352923
'Lonchorhina_orinocensis',4,0.004645465
'Lontra_longicaudis',4,0.007168459
'Lophocebus_albigena',4,0.000826873
'Lophostoma_brasiliense',4,0.00152207
'Lophostoma_silvicolum',4,0.02283105
'Macrotis_lagotis',4,0
'Makalata_didelphoides',4,0.060882801
'Marmosa_demerarae',4,0.072654872
'Marmosa_murina',4,0.017757484
'Marmosa_paraguayanus',4,0.081259551
'Marmosops_incanus',4,0.025878347
'Mastomys_coucha',4,0.00979021
'Mastomys_erythroleucus',4,0.018947175
'Mastomys_huberti',4,0.016783217
'Mastomys_natalensis',4,0.01484699
'Meriones_meridianus',4,0.003805175
'Mesophylla_macconnelli',4,0.005783866
'Metachirus_nudicaudatus',4,0.00456621
'Micromys_minutus',4,0.001550388
'Micronycteris_megalotis',4,0.047306139
'Micronycteris_minuta',4,0
'Microtus_agrestis',4,0.124701022
'Microtus_fortis',4,0.001538462
'Microtus_mongolicus',4,0
'Mimon_crenulatum',4,0.014731463
'Miniopterus_inflatus',4,0.002606489
'Molossus_molossus',4,0.01018956
'Monodelphis_americana',4,0.007508879
'Moschus_berezovskii',4,0.004559271
'Muntiacus_crinifrons',4,0.002026342
'Murina_aurata',4,0.002056126
'Murina_huttoni',4,0.001382768
'Myodes_rufocanus',4,0.002283105
'Myodes_rutilus',4,0.003221774
'Myonycteris_angolensis',4,0.006862745
'Myospalax_psilurus',4,0
'Myotis_albescens',4,0.006426518
'Myotis_blythii',4,0.034605598
'Myotis_brandtii',4,0.056007507
'Myotis_dasycneme',4,0.003233213
'Myotis_daubentonii',4,0.042233509
'Myotis_emarginatus',4,0.007194245
'Myotis_myotis',4,0.00623053
'Myotis_mystacinus',4,0.062785388
'Myotis_nattereri',4,0.076779637
'Myotis_siligorensis',4,0.009665891
'Myotis_velifer',4,0.012158055
'Myrmecobius_fasciatus',4,0
'Neacomys_spinosus',4,0
'Neodon_irene',4,0.006994888
'Nephelomys_albigularis',4,0.003874338
'Niviventer_andersoni',4,0.073385013
'Niviventer_confucianus',4,0.019716291
'Niviventer_excelsior',4,0.000620155
'Nyctalus_leisleri',4,0.001706397
'Ochotona_dauurica',4,0.008219178
'Ochotona_hyperborea',4,0.004750594
'Ochotona_pallasi',4,0.013434559
'Oligoryzomys_fulvescens',4,0.065376531
'Onychomys_leucogaster',4,0.058729918
'Orthogeomys_heterodus',4,0.00152207
'Oryx_gazella',4,0
'Oryzomys_couesi',4,0.013260783
'Otomops_martiensseni',4,0.000320436
'Papio_cynocephalus',4,0
'Pappogeomys_bulleri',4,0.000555864
'Peromyscus_maniculatus',4,0.021002154
'Peromyscus_melanocarpus',4,0.063604579
'Peromyscus_mexicanus',4,0.000761201
'Peropteryx_trinitatis',4,0.0021558
'Petrogale_lateralis',4,0.008390542
'Philander_frenatus',4,0.00152207
'Philander_opossum',4,0.00152207
'Philantomba_monticola',4,0.004325473
'Phodopus_campbelli',4,0.007479887
'Phyllostomus_discolor',4,0.069101979
'Phyllostomus_elongatus',4,0.001437511
'Phyllostomus_hastatus',4,0.008977936
'Pipistrellus_kuhlii',4,0.044530897
'Pipistrellus_pipistrellus',4,0
'Pipistrellus_savii',4,0.06440696
'Pipistrellus_subflavus',4,0.003039514
'Platyrrhinus_helleri',4,0.012042218
'Plecotus_macrobullaris',4,0.026232484
'Plecotus_teneriffae',4,0.033742331
'Potamochoerus_porcus',4,0.001330394
'Praomys_daltoni',4,0.018222346
'Praomys_delectorum',4,0.005120394
'Praomys_lukolelae',4,0.00286944
'Praomys_misonnei',4,0.005578801
'Praomys_petteri',4,0.006973501
'Praomys_rostratus',4,0.012023767
'Praomys_tullbergi',4,0.007092199
'Proechimys_guyannensis',4,0.049164873
'Pseudalopex_gymnocercus',4,0.018520805
'Pseudalopex_vetulus',4,0
'Pteronotus_parnellii',4,0.024695145
'Pteronura_brasiliensis',4,0
'Puma_concolor',4,0.002673797
'Rattus_exulans',4,0
'Rattus_giluwensis',4,0
'Rattus_leucopus',4,0.006273421
'Rattus_nitidus',4,0.06744186
'Rattus_rattus',4,0.003594237
'Rattus_tanezumi',4,0.047534978
'Reithrodontomys_creper',4,0.003738033
'Reithrodontomys_fulvescens',4,0.00456621
'Reithrodontomys_mexicanus',4,0.008451345
'Reithrodontomys_sumichrasti',4,0.025134137
'Rhinolophus_hildebrandtii',4,0
'Rhinolophus_hipposideros',4,0.013191273
'Rhinolophus_macrotis',4,0.000510465
'Rhinolophus_paradoxolophus',4,0.00610083
'Rhinolophus_pearsonii',4,0.006162123
'Rhinolophus_pusillus',4,0.005095945
'Rhinolophus_rouxii',4,0.004192599
'Rhinophylla_pumilio',4,0.007899263
'Rhogeessa_io',4,0
'Rhombomys_opimus',4,0.040359944
'Rhynchonycteris_naso',4,0.006834641
'Saccopteryx_bilineata',4,0.00159455
'Saccostomus_campestris',4,0.00379034
'Scotinomys_teguina',4,0.00574963
'Scotinomys_xerampelinus',4,0.000714912
'Scotophilus_dinganii',4,0
'Sigmodon_hispidus',4,0.005603438
'Sorex_bedfordiae',4,0.027789001
'Spermophilus_dauricus',4,0.003966607
'Sturnira_bidens',4,0.005316322
'Sturnira_erythromos',4,0.036833987
'Sturnira_lilium',4,0.017976319
'Sturnira_ludovici',4,0.036219853
'Sturnira_luisi',4,0.025785728
'Sturnira_magna',4,0.011357395
'Sturnira_tildae',4,0.004541325
'Sylvilagus_brasiliensis',4,0.00913242
'Tadarida_brasiliensis',4,0.004728132
'Tamias_sibiricus',4,0.015954666
'Tamiops_swinhoei',4,0
'Trachops_cirrhosus',4,0.036365952
'Tscherskia_triton',4,0.00913242
'Tympanoctomys_barrerae',4,0
'Uroderma_bilobatum',4,0.008794182
'Vampyressa_bidens',4,0.005580923
'Vampyressa_thyone',4,0
'Vampyrodes_caraccioli',4,0.00608828
'Vespertilio_murinus',4,0.002488209
'Vulpes_corsac',4,0
'Zygodontomys_brevicauda',4,0.02201928
'Ametrida_centurio',5,0.009067557
'Anoura_caudifer',5,0.058322956
'Anourosorex_squamipes',5,0.006218163
'Apodemus_agrarius',5,0.003076923
'Apodemus_peninsulae',5,0.008098056
'Arielulus_aureocollaris',5,0.006092921
'Artibeus_anderseni',5,0.003030406
'Artibeus_cinereus',5,0.002897399
'Artibeus_concolor',5,0.014516454
'Artibeus_gnomus',5,0.013780695
'Artibeus_jamaicensis',5,0.010762182
'Artibeus_lituratus',5,0.006560198
'Artibeus_obscurus',5,0.006167787
'Artibeus_phaeotis',5,0.017755942
